Repository,Fix Commit SHA,Tests Changes in Fix,BIC Commit SHA,Tests Changes in BIC
JabRef/jabref,00894a3378260e7944e5f40144d6608cf3164fe5,No,-,-
JabRef/jabref,86e2c82cbe0eb8ca18f1b80f7b85b375cc316ad7,No,-,-
JabRef/jabref,b991648cde18f447099eaee3f605e1b709151dd5,No,e2b07273484056f508f958a931343397b4c8a43f,No
JabRef/jabref,eff62f6dde4b5b4de471d2df1c49c9cfc6616294,No,a80435f151bc4bec0c75a5aa4a6fae76eda2fe1e,No
JabRef/jabref,f408d9012caf27d54fe1f077d7cfdd0a47f4241b,No,ffdb88d83d72cf102ef3d4d832800ec326cd88db,No
JabRef/jabref,222d214e3e6f70912d7dc6ba5757330d2578388d,No,144a37d10e955d8a27ba8e04ef000d86947cd5f0,No
JabRef/jabref,36b5381fecef7ace3504d2c366effe01307f7d14,No,021f094e64a6393a7490ee680d73ef26b3128625,No
JabRef/jabref,f1c099cecb979c8baf47ada17bafde4652b1648a,No,bec55f8c42430221838fbd18a91fe652e2408dda,No
JabRef/jabref,d8f6c5cecb61a6f3b64be5db98b143978e41c9bd,No,89ee88513c0012a776afa5d7dc5af14e01e36852,No
JabRef/jabref,19f17960c34bead8a62bea81535c8194b5fb324b,No,-,-
JabRef/jabref,e35b6ac2c27894ee95190fca423440ff6bd9c977,No,f5a2f3b130f3b094c388dd7975e132fd87b15647,No
JabRef/jabref,8ab76350cfe2477b412e21b60dda8b6e63386175,No,d01f3709766207ba24a8e0790d220157a7e440b6,No
JabRef/jabref,22690af1c814042483964ab100800d8093860c6c,No,d9644d0184044b3f3cdc40fd9323410e72b28aec,No
JabRef/jabref,d6fec0b54ad37f55c95e7438bd3604dedb133abc,No,c1c79a054d1a8c4964288aa6c34b9ed81bd3b0d6,No
JabRef/jabref,74b5852279434af5bd5abc37387af79b7041f845,No,0a26d3100602d023557880bb00755f7c9f2dea73,No
JabRef/jabref,ce5038dd3fa029bed76df468393678423867451b,No,a4b6099bb254793d9da25bf0472769b72987d182,No
JabRef/jabref,ba24c126c523b663a444cb8aa17421ab829eeef3,No,adf226fe888c0c234e0663de522aab01d59184d4,No
JabRef/jabref,ae43548c16ca35b9a83a2d34864557cf503c0df4,No,7672b2de95aea95b92d47cde3215ffb9f96aadcb,No
JabRef/jabref,99223c4d09b46a6a61b75a98cd4494ddab210876,No,8a9aca1ac5a2c0c072f80264e3226742d357c19d,No
JabRef/jabref,093bac2dea60220654c05cba72a0889a38100773,No,e656635d8262bac56540ee80eab365fc9ee469f4,No
JabRef/jabref,1d7a2533833252da88274f9690cbce19b3e855b9,No,d2ddf938092bfd226f73cb63a61494a1d2dccec6,No
